Name,Variety_Code,Crop_Type,Days_to_Maturity,Days_to_Transplant,Direct_Sow,Succession_Interval,Description
"F1 Rafale",VCA480,Cauliflower,60,21,No,21,"F1 Rafale"
"F1 Liria",VOG205,Cauliflower,60,21,No,21,"F1 Liria                                                                Ideal for fresh market sales."
"F1 Toledo",VCA532,Cauliflower,60,21,No,21,"F1 Toledo                           £5.10      £8.15     £13.00"
"F1 Aviron",VCA500,Cauliflower,60,21,No,21,"F1 Aviron                        £33.65 £53.75        £86.00              25sd      50sd       100sd"
"F1 Clapton",VCA550,Cauliflower,60,21,No,21,"F1 Clapton (not shown)             250sd      500sd     1,000sd"
Amazing,VCA462,Cauliflower,60,21,No,21,"Amazing (not shown)"
"All Year Round",VCA430,Cauliflower,60,21,No,21,"All Year Round"
"F1 Belot",VCA460,Cauliflower,60,21,No,21,"F1 Belot"
"F1 Skywalker",VCA478,Cauliflower,60,21,No,21,"F1 Skywalker                     protection. Very high percentage"
"F1 Seoul",VCA470,Cauliflower,60,21,No,21,"F1 Seoul                           25sd      50sd       100sd"
"F1 Optimist",VCA493,Cauliflower,60,21,No,21,"F1 Optimist (not shown)"
"F1 Skywalker",VOG195,Cauliflower,60,21,No,21,"F1 Skywalker                     packed curds, good foliage"
"F1 Mengwenn",VCA682,Cauliflower,60,21,No,21,"F1 Mengwenn"
"F1 Clipper",VCA492,Cauliflower,60,21,No,21,"F1 Clipper"
"F1 Triomphant",VCA545,Cauliflower,60,21,No,21,"F1 Triomphant                        Gerona"
Aalsmeer,VCA670,Cauliflower,60,21,No,21,"Aalsmeer (not shown)                                          good density for an early type."
"F1 Gerona",VCA675,Cauliflower,60,21,No,21,"F1 Gerona                                                      250sd     500sd      1,000sd                                         25sd       50sd     100sd"
"F1 Medaillon",VOG207,Cauliflower,60,21,No,21,"F1 Medaillon"
organic,VOG205,Cauliflower,60,21,No,21,"organic option"
organic,VOG202,Cauliflower,60,21,No,21,"organic option"
"F1 Redoubtable",VCA507,Cauliflower,60,21,No,21,"F1 Redoubtable                    Optimist F1 VCA493"
organic,VOG207,Cauliflower,60,21,No,21,"organic option"
"F1 Celio",VCA502,Celeriac,60,21,No,21,"F1 Celio (not shown)                                                                                                 Ideal for fresh market sales, long"
F1,VCA525,Celeriac,60,21,No,21,"F1 AMO 125                           minimum 18oC.         Sow into          x 30cm, or into cold glass (mild"
"F1 Victoria",VCE15,Celeriac,60,21,No,21,"F1 Victoria (not shown)"
"F1 Graffiti",VCA475,Celeriac,60,21,No,21,"F1 Graffiti                                                                 blanching, erect habit."
"F1 Navona",VCA515,Celeriac,60,21,No,21,"F1 Navona                                                                                                              250sd      500sd     1,000sd"
"F1 Victoria",VCE35,Cauliflower,60,21,No,21,"F1 Victoria"
"F1 Monet",VCE02,Cauliflower,60,21,No,21,"F1 Monet"
"F1 Veronica",VOG202,Cauliflower,60,21,No,21,"F1 Veronica                                                                 Resistant to bolting; tolerant of"
"F1 Sunset",VCA485,Cauliflower,60,21,No,21,"F1 Sunset                             250sd     500sd       1,000sd"
Prinz,VCE08,Cauliflower,60,21,No,21,"Prinz (not shown)"
Minaret,VCA720,Cauliflower,60,21,No,21,"Minaret                             £9.10       £14.55       £23.25         early cultivation under glass,"
"An Romanesco",,Cauliflower,60,21,No,21,"An open pollinated Romanesco"
"F1 Greensleeves",VCE70,Cauliflower,60,21,No,21,"F1 Greensleeves"
Prinz,VOG232,Cauliflower,60,21,No,21,"Prinz (not shown)                  500sd 1,000sd 2,500sd"
"F1 Lazio",VCA520,Cauliflower,60,21,No,21,"F1 Lazio (not shown)"
"A Romanesco",,Cauliflower,60,21,No,21,"A Romanesco cauliflower variety                                                     £5.95 £12.55 £23.10 £41.25                   10,000sd 25,000sd"
"Giant Prague",VCE10,Cauliflower,60,21,No,21,"Giant Prague                      organic seed"
"F1 Trevi",VCA508,Cauliflower,60,21,No,21,"F1 Trevi                            (not shown)                     YP"
"Tall Utah",VOG235,Celeriac,60,21,No,21,"Tall Utah"
Celebrity,VCE20,Celeriac,60,21,No,21,"Celebrity (not shown)                                                     VGR27 Mustard, Brown                    Mixes"
"Green Mix",VCO010,Celeriac,60,21,No,21,"Green Mix"
"Golden Self",VCE40,Celeriac,60,21,No,21,"Golden Self                                                                250g 500g           1kg     21/2kg"
"Mustard, White",VGR28,Celeriac,60,21,No,21,"Mustard, White"
"Super Mix",VCO020,Celeriac,60,21,No,21,"Super Mix"
"Green Soup",VCE45,Celeriac,60,21,No,21,"Green Soup                                                                grams/sqm). Quick growing, to a"
Alfalfa,VGR10,Celeriac,60,21,No,21,"Alfalfa (not shown)"
"Red Soup",VCE50,Celeriac,60,21,No,21,"Red Soup                           10kg/acre (2.5 grams/sqm). Avoid"
"Soil+ Mix",VCO030,Celeriac,60,21,No,21,"Soil+ Mix"
Phacelia,VGR30,Celeriac,60,21,No,21,"Phacelia                          soil compaction, with the benefit"
"PreCob Mix",VCO040,Celeriac,60,21,No,21,"PreCob Mix"
Buckwheat,VGR12,Celeriac,60,21,No,21,"Buckwheat                        VGR35 Red Clover (not shown)            (not shown)"
"White Clover",VGR38,Celeriac,60,21,No,21,"White Clover"
"Brussels Whitloof",VCH10,Celeriac,60,21,No,21,"Brussels Whitloof                                                         (not shown)                             acre (5 grams/sqm)."
"Forage Pea",VGR22,Celeriac,60,21,No,21,"Forage Pea (not shown)           period and good regeneration rate."
"PreSpud Mix",VCO050,Celeriac,60,21,No,21,"PreSpud Mix"
"Winter Tares",VGR40,Celeriac,60,21,No,21,"Winter Tares                      and adds biomass. Contains 80%"
"Forage Rye",VGR25,Celeriac,60,21,No,21,"Forage Rye (not shown)           Also known as Purple Vetch. A           Radish. Can be sown during the"
"Brussels Witloof",VOG238,Celeriac,60,21,No,21,"Brussels Witloof                  For August-November sowings at         nitrogen-fixing plant for sowing        spring, summer and early autumn"
"F1 Passandra",VCU015,Cucumber,60,21,No,21,"F1 Passandra"
"F1 Saturn",VCU075,Cucumber,60,21,No,21,"F1 Saturn               YP       £10.45 £37.30 £175.90 £335.00"
"F1 Passandra",VOG295,Cucumber,60,21,No,21,"F1 Passandra"
Cresso,VOG271,Cucumber,60,21,No,21,Cresso
"F1 Carmen",VCU013,Cucumber,60,21,No,21,"F1 Carmen"
"F1 Pony",VCU140,Cucumber,60,21,No,21,"F1 Pony                  YP"
"F1 Flamingo",VOG280,Cucumber,60,21,No,21,"F1 Flamingo                      skin, with excellent flavour and"
"Water Cress",VCR20,Cucumber,60,21,No,21,"Water Cress (not shown)         £13.40 £47.90 £225.75 £430.00                                                  texture. Most productive when"
"Land Cress",VCR30,Cucumber,60,21,No,21,"Land Cress (not shown)                                                 slightly ribbed type, for production     £9.35 £33.40 £157.50 £300.00"
"F1 Femspot",VCU070,Cucumber,60,21,No,21,"F1 Femspot               YP"
"F1 Delistar",VCU160,Cucumber,60,21,No,21,"F1 Delistar                 YP"
"F1 Paska",VOG300,Cucumber,60,21,No,21,"F1 Paska                         This unusual variety features very"
"F1 Louisa",VCU060,Cucumber,60,21,No,21,"F1 Louisa                YP"
Lemon,VCU125,Cucumber,60,21,No,21,"Lemon (not shown)"
"Blond Full Heart",VOG315,Cucumber,60,21,No,21,"Blond Full Heart                  E"
Peticue,VCU165,Cucumber,60,21,No,21,"Peticue                 YP"
"F1 Partner",VCU097,Cucumber,60,21,No,21,"F1 Partner                       Endive is similar to lettuce but"
Telegraph,VCU100,Cucumber,60,21,No,21,"Telegraph                         indoor and outdoor production. A"
Rosy,VEN55,Cucumber,60,21,No,21,Rosy
"F1 Enforcer",VCU106,Cucumber,60,21,No,21,"F1 Enforcer                                                             A rustic looking variety with lightly"
Sonja,VOG312,Cucumber,60,21,No,21,"Sonja                             used as scion material with this       VEN35 Kokyta"
Rosy,VEN56,Cucumber,60,21,No,21,Rosy
"F1 Burpless Tasty",VCU110,Cucumber,60,21,No,21,"F1 Burpless Tasty                100plt 250plt 500plt 1,000plt"
Marketmore,VCU120,Cucumber,60,21,No,21,Marketmore
"F1 Alhambra",VCU095,Cucumber,60,21,No,21,"F1 Alhambra                           10g       25g        50g           split pills                             VEN82 Primafine"
Dafne,VEN45,Cucumber,60,21,No,21,"Dafne                             attractive dark colour and fine frills"
Marketmore,VOG305,Cucumber,60,21,No,21,"Marketmore                                                              in heart."
"Basil, Gustosa",VHE035,Cucumber,60,21,No,21,"Basil, Gustosa"
Angelica,VHE010,Cucumber,60,21,No,21,"Angelica (Angelica"
"Basil, Gustosa",VOG741,Cucumber,60,21,No,21,"Basil, Gustosa"
"Basil, Greek",VHE055,Cucumber,60,21,No,21,"Basil, Greek                      £2.15    £4.00      £9.20"
Anise,VHE020,Cucumber,60,21,No,21,"Anise                            £1.90      £3.25     £5.95"
"Basil, Nicola",VHE038,Cucumber,60,21,No,21,"Basil, Nicola"
"F1 Rondo",VFE12,Cucumber,60,21,No,21,"F1 Rondo                                                                                                     for all year round cultivation,"
"Basil, Sweet",VHE050,Cucumber,60,21,No,21,"Basil, Sweet 		                       £23.30      £53.95"
"Balm, Lemon",VHE030,Cucumber,60,21,No,21,"Balm, Lemon                    shiny green leaves, plant height"
"F1 Rondo",VFE15,Cucumber,60,21,No,21,"F1 Rondo                         Perennial: 2,000 seeds per gram.      soups and fruit preserves. 25"
"F1 Rondo",VOG322,Cucumber,60,21,No,21,"F1 Rondo                            21/2g       5g          10g              £9.45      £21.90"
"Basil, Cinnamon",VHE052,Cucumber,60,21,No,21,"Basil, Cinnamon"
"Basil, Sweet",VOG740,Cucumber,60,21,No,21,"Basil, Sweet"
"Zefa Fino",VFE10,Cucumber,60,21,No,21,"Zefa Fino (not shown)                                                                                        flavour and a strong cinnamon"
"Balm, Lemon",VOG737,Cucumber,60,21,No,21,"Balm, Lemon                       £1.90     £3.50      £6.50         for 1,000 9cm pots."
"Basil, Bush",VHE040,Cucumber,60,21,No,21,"Basil, Bush                            £12.90    £23.85"
"Basil, Red Dark",VHE060,Cucumber,60,21,No,21,"Basil, Red Dark"
"Zefa Fino",VOG320,Cucumber,60,21,No,21,"Zefa Fino                                                             half the size of sweet basil. Used    Purplish bronze ornamental foliage"
Chamomile,VHE130,Cucumber,60,21,No,21,"Chamomile (Matricaria"
Borage,VHE090,Cucumber,60,21,No,21,"Borage (Borago                          £11.95     £22.15"
"Basil, Red",VHE064,Cucumber,60,21,No,21,"Basil, Red                                                             Annual: 65 seeds per gram. Bushy        VOG755 Chamomile"
"Basil, Lemon",VHE075,Cucumber,60,21,No,21,"Basil, Lemon                   beekeepers. Used for flavouring"
"Chamomile, Sweet",VHE120,Cucumber,60,21,No,21,"Chamomile, Sweet"
Borage,VOG750,Cucumber,60,21,No,21,"Borage                           smelling foliage. Height 15-30cm."
Burnet,VHE100,Cucumber,60,21,No,21,"Burnet (Poterium                       £11.50       £26.65"
"Basil, Floral Spires",VHE057,Cucumber,60,21,No,21,"Basil, Floral Spires                                                      25g       50g       100g"
"Basil, Siam Queen",VHE085,Cucumber,60,21,No,21,"Basil, Siam Queen                £2.05     £3.75      £6.95"
Caraway,VHE110,Cucumber,60,21,No,21,"Caraway (Carum"
"Chervil, Curled",VHE140,Cucumber,60,21,No,21,"Chervil, Curled"
"Basil, Sweet Thai",VOG743,Cucumber,60,21,No,21,"Basil, Sweet Thai                  25g        50g       100g           cut dark green leaves. Height 20-"
"Basil, Green Ruffles",VHE070,Cucumber,60,21,No,21,"Basil, Green Ruffles                                                      £1.90      £2.40      £4.45          40cm. Used for flavouring salads"
Caraway,VOG752,Cucumber,60,21,No,21,"Caraway                                  250g       500g"
Chives,VHE150,Cucumber,60,21,No,21,"Chives (Allium"
Catnip,VHE115,Cucumber,60,21,No,21,"Catnip (Nepeta                   foliage, useful for salads and"
"Basil, Purple",VHE080,Cucumber,60,21,No,21,"Basil, Purple                             25g        50g               cataria) (not shown)                    soups. 30 seeds per 11cm pot."
Chives,VOG760,Cucumber,60,21,No,21,Chives
"Dill Diana",VHE182,Cucumber,60,21,No,21,"Dill Diana"
"Chives, Polystar",VHE152,Cucumber,60,21,No,21,"Chives, Polystar                                                                                             Annual: 900 seeds per gram. A"
"Coriander Confetti",VHE168,Cucumber,60,21,No,21,"Coriander Confetti                                                    very upright and stable selection."
"Coriander Cruiser",VHE173,Cucumber,60,21,No,21,"Coriander Cruiser                habit. Especially robust against"
"Chives, Garlic",VHE160,Cucumber,60,21,No,21,"Chives, Garlic                                                       Seed rate: 5kg per acre."
"Coriander Slobolt",VOG770,Cucumber,60,21,No,21,"Coriander Slobolt"
"Coriander Santos",VHE172,Cucumber,60,21,No,21,"Coriander Santos              5kg per acre.                           VOG790 Dill Hera"
Cumin,VHE175,Cucumber,60,21,No,21,"Cumin (Cuminum                       10g       25g        50g"
Coriander,VHE170,Cucumber,60,21,No,21,"Coriander                                                            Annual: 300 seeds per gram. Grass"
"Dill Dukat",VHE184,Cucumber,60,21,No,21,"Dill Dukat"
Dill,VHE180,Cucumber,60,21,No,21,"Dill (Anethum                    9cm pots."
"Coriander Calypso",VHE174,Cucumber,60,21,No,21,"Coriander Calypso"
Dill,VOG785,Cucumber,60,21,No,21,Dill
"Fennel, Common",VHE190,Cucumber,60,21,No,21,"Fennel, Common"
"Marjoram, Pot",VHE280,Cucumber,60,21,No,21,"Marjoram, Pot"
"Marjoram, Pot",VOG795,Cucumber,60,21,No,21,"Marjoram, Pot"
Pennyroyal,VHE315,Cucumber,60,21,No,21,Pennyroyal
"Lemon Grass",VHE255,Cucumber,60,21,No,21,"Lemon Grass                                                                  £17.50      £40.45"
"Fennel, Bronze",VHE200,Cucumber,60,21,No,21,"Fennel, Bronze                (Cymbopogon flexuosus)                                                       For Rocket see page 219"
"Marjoram Sweet",VHE290,Cucumber,60,21,No,21,"Marjoram Sweet"
"Hyssop Blue",VHE230,Cucumber,60,21,No,21,"Hyssop Blue                   VHE260 Lovage"
Rosemary,VHE350,Cucumber,60,21,No,21,Rosemary
"Marjoram, Sweet",VOG800,Cucumber,60,21,No,21,"Marjoram, Sweet"
Rosemary,VOG805,Cucumber,60,21,No,21,Rosemary
"Mint, Green",VHE312,Cucumber,60,21,No,21,"Mint, Green                          £40.90      £94.60"
"Hyssop, Pink",VHE232,Cucumber,60,21,No,21,"Hyssop, Pink                  VHE270 Marigold, Pot                   Perennial: 13,500 seeds per gram.     VHE360 Rue (Ruta graveolens)"
Tansy,VHE430,Cucumber,60,21,No,21,Tansy
"Welsh Onion,",VHE460,Onion,60,21,No,21,"Welsh Onion,"
"F1 Ballot",VKO10,Onion,60,21,No,21,"F1 Ballot           Poly Glas"
"Welsh Onion, Red",VHE465,Onion,60,21,No,21,"Welsh Onion, Red                 Resistant to bolting, stem splitting"
"Tarragon, Russian",VHE440,Onion,60,21,No,21,"Tarragon, Russian            (Allium fistulosum) (not shown)         and lignification. Maturity time is"
Sage,VHE370,Onion,60,21,No,21,"Sage (Salvia officinalis)       Perennial: 6,000 seeds per gram.    Similar to Welsh Onion White but"
Sage,VOG810,Onion,60,21,No,21,"Sage                                    £9.15      £21.15            fresh sales and PYO, can be"
"Azur Star",VOG330,Onion,60,21,No,21,"Azur Star"
"Savory, Summer",VHE380,Onion,60,21,No,21,"Savory, Summer                                                       to October. 250,000 seeds per          Ideal variety for early greenhouse"
"Kohl Rabi Purple",VKO30,Onion,60,21,No,21,"Kohl Rabi Purple                  cold greenhouse production,"
"Thyme, English",VHE450,Onion,60,21,No,21,"Thyme, English               A Kohl Rabi variety produced"
"Savory, Winter",VHE390,Onion,60,21,No,21,"Savory, Winter                  seasoning and stuffings.               50g       100g       250g"
"Thyme, English",VOG820,Onion,60,21,No,21,"Thyme, English"
"Sorrel, Broad",VHE400,Onion,60,21,No,21,"Sorrel, Broad                                                                                               VKO22 F1 Kref           Poly Glas"
"Thyme, Purple",VHE455,Onion,60,21,No,21,"Thyme, Purple                                                        A very early light green variety,"
Noriko,VOG342,Onion,60,21,No,21,Noriko
"F1 Matejko",VLE040,Onion,60,21,No,21,"F1 Matejko"
"F1 Exeter",VLE092,Onion,60,21,No,21,"F1 Exeter"
Musselburgh,VLE060,Onion,60,21,No,21,"Musselburgh                                                    cleaning ability. Good uniformity"
"F1 Oslo",VOG388,Onion,60,21,No,21,"F1 Oslo NEW"
Zermatt,VLE015,Onion,60,21,No,21,"Zermatt (not shown)                                          10g     25g      50g     100g"
Tornado,VLE085,Onion,60,21,No,21,"Tornado (not shown)                                    250sd     500sd     1,000sd"
Porbella,VLE062,Leek,60,21,No,21,Porbella
"F1 Lancaster",VLE088,Leek,60,21,No,21,"F1 Lancaster NEW"
"F1 Tempest",VLE046,Leek,60,21,No,21,"F1 Tempest NEW                                                500sd 1,000sd 2,500sd                                               organic seed                                              foliage and good shank length."
Tadorna,VOG385,Leek,60,21,No,21,"Tadorna                                            Excellent uniformity. Ideal for pre-"
Porbella,VLE064,Leek,60,21,No,21,"Porbella                                                      leaf spot.                                                   £9.20      £14.35    £22.90"
"Winter Giant",VLE080,Leek,60,21,No,21,"Winter Giant 3"
New,VLE046,Leek,60,21,No,21,New
organic,VOG385,Leek,60,21,No,21,"organic option                                                                                                                                    system reduces the incidence of"
organic,VOG388,Leek,60,21,No,21,"organic option New                                                                                                                                     lodging. Suitable for harvesting"
New,VLE088,Leek,60,21,No,21,New
Eliana,VLE161,Lettuce,60,21,No,21,Eliana
Analora,VOG412,Lettuce,60,21,No,21,Analora
Donatella,VLE176,Lettuce,60,21,No,21,"Donatella                     for harvesting April-October.         autumn production. Resistance"
"All Year Round",VLE225,Lettuce,60,21,No,21,"All Year Round"
Eliana,VLE162,Lettuce,60,21,No,21,"Eliana                         Compact hearts, long cropping"
"Crisp Iceberg",,Lettuce,60,21,No,21,"Crisp / Iceberg / Batavian: crisp"
Brighton,VOG414,Lettuce,60,21,No,21,"Brighton                         Justine                                10g        25g        50g"
"Icebergs,",,Lettuce,60,21,No,21,"thinner leaves than Icebergs, but       A large framed butterhead                                                          100g        250g"
"Curled Oak Leaf",,Lettuce,60,21,No,21,"Curled / Oak Leaf / Salad Bowl:         with good colour. Suitable for                                               Matrioska"
Justine,VLE154,Lettuce,60,21,No,21,Justine
"Lollo Bionda",,Lettuce,60,21,No,21,"curled leaves. Lollo Bionda varieties                                        and summer cultivation. Pale,"
"Lollo Rossa",,Lettuce,60,21,No,21,"are green, Lollo Rossa varieties are                                         smooth, glossy head with"
Matrioska,VLE220,Lettuce,60,21,No,21,Matrioska
Marvel,VLE345,Lettuce,60,21,No,21,"Marvel of Four 		              nice bubbling. Well closed base."
Sylvesta,VOG418,Lettuce,60,21,No,21,"Sylvesta                      900 seeds per gram."
Frank,VLE240,Lettuce,60,21,No,21,"Frank                            Resistant to tipburn. Sow March-             100g       250g"
Marvel,VOG413,Lettuce,60,21,No,21,"Marvel of Four"
"Gem Types",,Lettuce,60,21,No,21,"Little Gem Types                                                                 Cos / Romaine Types"
Sally,VLE679,Lettuce,60,21,No,21,"Sally                       YP                                            VLE685 Tantan"
"A Little",,Lettuce,60,21,No,21,"A high quality Little Gem type, with                                             One of the best small Cos              split pills"
Faro,VLE697,Lettuce,60,21,No,21,"Faro                   YP"
Maureen,VOG421,Lettuce,60,21,No,21,"Maureen                         with good green colour and             An excellent midi sized variety."
"Lobjoit’s Green",VLE700,Lettuce,60,21,No,21,"Lobjoit’s Green"
Maureen,VOG422,Lettuce,60,21,No,21,Maureen
Sally,VLE680,Lettuce,60,21,No,21,"Sally                      YP      100plt 250plt 500plt 1,000plt                                                 best flavoured Cos varieties. For"
"Little Gem",VLE690,Lettuce,60,21,No,21,"Little Gem                                                                                                          £2.80      £6.45     £11.90"
Xiomara,VLE686,Lettuce,60,21,No,21,Xiomara
Stonsay,VLE790,Lettuce,60,21,No,21,"Stonsay                          £4.35 £9.15 £16.80 £30.00"
"Paris Island Cos",VLE725,Lettuce,60,21,No,21,"Paris Island Cos YP"
Xiomara,VOG432,Lettuce,60,21,No,21,"Xiomara                         A Lobjoit’s type but with a pale"
Jeluna,VLE282,Lettuce,60,21,No,21,"Jeluna                              5g        10g        25g"
Moonred,VLE692,Lettuce,60,21,No,21,"Moonred                YP           £5.60 £11.80 £21.70 £38.75            A large sized Romaine lettuce,            £1.90     £3.20      £7.35"
"Paris Island Cos",VOG442,Lettuce,60,21,No,21,"Paris Island Cos"
Moonred,VOG452,Lettuce,60,21,No,21,"Moonred             YP                                                    VOG462 Jeluna                          developed for babyleaf"
"Crisp Types Iceberg",,Lettuce,60,21,No,21,"Crisp Types - Iceberg                                                             Maritima                               Cancan"
Saladin,VLE560,Lettuce,60,21,No,21,Saladin
Cancan,VLE206,Lettuce,60,21,No,21,"Cancan                 YP"
Maritima,VLE410,Lettuce,60,21,No,21,"Maritima                        appearance. A non-hearting type"
Gondar,VLE575,Lettuce,60,21,No,21,"Gondar                            recommended. 800 seeds per gram.       A reliable variety producing a         suitable for ‘cut and come again’"
"An Iceberg",,Lettuce,60,21,No,21,"An excellent quality Iceberg ­lettuce                                           decent head with good volume and       or full head production. Good"
Robinson,VLE594,Lettuce,60,21,No,21,Robinson
Emocion,VLE422,Lettuce,60,21,No,21,"Emocion                         split pills"
Frillice,VLE450,Lettuce,60,21,No,21,Frillice
Donovan,VLE580,Lettuce,60,21,No,21,"Donovan                           to Bremia BL 17,19. 800 seeds per      against tipburn and bolting. For"
"A Iceberg",,Lettuce,60,21,No,21,"A flexible Iceberg variety, with         gram.                                  harvesting early May to late"
Robinson,VLE595,Lettuce,60,21,No,21,Robinson
Iceberg,,Lettuce,60,21,No,21,"Iceberg                                  Great Lakes 659"
Ezflor,VLE208,Lettuce,60,21,No,21,"Ezflor NEW"
"Florine Red",VLE438,Lettuce,60,21,No,21,"Florine Red                     glossy red colour and distinctive"
Iceberg,VLE400,Lettuce,60,21,No,21,"Iceberg                                                                  outdoor production. Features           production with one basal cut"
"Great Lakes",VLE510,Lettuce,60,21,No,21,"Great Lakes 659                 a good structure with a closed         giving multiple equal sized leaves."
Iceberg,,Lettuce,60,21,No,21,"Iceberg type. 750 seeds per gram.         seeds per gram.                       to Lettuce Aphid (Nasonovia            Aphid (Nasonovia ribisnigri),"
Vizir,VLE756,Lettuce,60,21,No,21,"Vizir                           VLE767 Bolero                      VLE655 Granite                        VLE648 Lea NEW"
Alonix,VLE444,Lettuce,60,21,No,21,"Alonix                      organic split pills"
Admir,VOG461,Lettuce,60,21,No,21,"Admir                           A bright red oakleaf variety.      VOG454 Ilema                          split pills"
Solmar,VLE650,Lettuce,60,21,No,21,Solmar
Alonix,VOG444,Lettuce,60,21,No,21,"Alonix                                                              Senorita"
Green,VLE670,Lettuce,60,21,No,21,"Green                             Salad Bowl, Green"
Red,VLE660,Lettuce,60,21,No,21,Red
Senorita,VOG402,Lettuce,60,21,No,21,Senorita
"Lollo Bionda",VLE610,Lettuce,60,21,No,21,"Lollo Bionda           YP      variety with excellent growing"
Open,,Lettuce,60,21,No,21,"Open leaved lettuce, like Lollo       power. Open formation to head"
Green,VOG405,Lettuce,60,21,No,21,"Green                                                              Rossa in habit and cropping but       with medium-rough curly texture"
Red,VOG408,Lettuce,60,21,No,21,"Red                                                                leaves. 800 seeds per gram.           use; both for indoor and outdoor"
Chiara,VLE822,Lettuce,60,21,No,21,"Chiara (not shown)"
Matador,VLE643,Lettuce,60,21,No,21,"Matador                   YP"
"A Lollo",,Lettuce,60,21,No,21,"A triple red Lollo Rossa variety,"
Nelson,VLE824,Lettuce,60,21,No,21,Nelson
"F1 Lottie",VME32,Lettuce,60,21,No,21,"F1 Lottie"
"F1 Charmont",VME12,Lettuce,60,21,No,21,"F1 Charmont                                           YP Poly Glas"
"Lollo Rossa",,Lettuce,60,21,No,21,"Lollo Rossa                                                                 prolific yield of deep round shaped     The sweet flesh has a Brix of 15o."
Arcade,VLE814,Lettuce,60,21,No,21,"Arcade                           Fusarium (0,1,2) and powdery"
"Lollo Rossa",VLE620,Lettuce,60,21,No,21,"Lollo Rossa            YP       Lettuce Aphid (Nasonovia ribisnigri)."
"Lollo Rossa",VOG470,Lettuce,60,21,No,21,"Lollo Rossa"
"F1 Galia",VME40,Lettuce,60,21,No,21,"F1 Galia"
Copacabana,VLE864,Lettuce,60,21,No,21,"Copacabana                                                               type hybrid that produces very"
Ogen,VME20,Lettuce,60,21,No,21,"Ogen          YP Poly Glas        uniform, round fruit, with a small"
"F1 Jade Lady",VME30,Lettuce,60,21,No,21,"F1 Jade Lady"
Mixed,VLE860,Lettuce,60,21,No,21,"Mixed (not shown)               VLE872 Simphony                         The flesh is tender, light green in"
"F1 Budgie",VME42,Lettuce,60,21,No,21,"F1 Budgie                                                                                                     A. cepa x A. fistulosum"
Tipika,VON090,Lettuce,60,21,No,21,Tipika
Marksman,VON010,Lettuce,60,21,No,21,Marksman
"F1 Little Darling",VME52,Lettuce,60,21,No,21,"F1 Little Darling                                                                                                £3.95     £13.70    £29.80"
Reddy,VON185,Lettuce,60,21,No,21,Reddy
Ramrod,VON020,Onion,60,21,No,21,Ramrod
Ishikura,VON165,Onion,60,21,No,21,Ishikura
"North Holland",VON180,Onion,60,21,No,21,"North Holland 		                                                        £43.75 £81.00 £150.00"
"F1 Champagne",VME55,Onion,60,21,No,21,"F1 Champagne                     popular with the hotel trade."
"White Lisbon",VON120,Onion,60,21,No,21,"White Lisbon"
Borettana,VON155,Onion,60,21,No,21,"Borettana                       quickly. Medium green foliage."
Entita,VON162,Onion,60,21,No,21,Entita
"White Lisbon",VOG508,Onion,60,21,No,21,"White Lisbon                   early summer sowings. Medium"
Rijnsburger,VON175,Onion,60,21,No,21,"Rijnsburger 5"
"Ailsa Craig",VON060,Onion,60,21,No,21,"Ailsa Craig      YP"
Karmen,VON085,Onion,60,21,No,21,Karmen
"F1 Santero",VON265,Onion,60,21,No,21,"F1 Santero"
"F1 Hybound",VON236,Onion,60,21,No,21,"F1 Hybound                       500sd 1,000sd 2,500sd                VON080 Kosma"
Tosca,VON215,Onion,60,21,No,21,Tosca
"F1 Hybound",VON238,Onion,60,21,No,21,"F1 Hybound                                                               Red Baron                             grams each. Attractive light brown"
Globo,VON270,Onion,60,21,No,21,"Globo                    YP                                               £2.95 £6.80 £12.60 £23.30"
"F1 Hybound",VOG494,Onion,60,21,No,21,"F1 Hybound NEW                 weigh 250-350 grams from a spring"
"Red Baron",VON035,Onion,60,21,No,21,"Red Baron              YP"
"F1 Fasto",VON243,Onion,60,21,No,21,"F1 Fasto"
"Red Baron",VON040,Onion,60,21,No,21,"Red Baron"
"Long De Florence",VON210,Onion,60,21,No,21,"Long De Florence"
"F1 Fasto",VON246,Onion,60,21,No,21,"F1 Fasto                                                              VOG496 Red Baron                         Europe. Perfect as a raw slicer."
"F1 Cupido",VOS030,Onion,60,21,No,21,"F1 Cupido                        texture, shape and flavour of"
Planting,,Onion,60,21,No,21,"Planting                             Stuttgarter type. Suited to long"
"F1 Element",VON222,Onion,60,21,No,21,"F1 Element                                                         term storage."
"Wong Bok",VOR002,Onion,60,21,No,21,"Wong Bok"
Michihili,VOR012,Onion,60,21,No,21,"Michihili (not shown)"
"F1 Toughball",VON225,Onion,60,21,No,21,"F1 Toughball                  bolting in early plantings.                                                  Tall, cyclindrical shaped head, with"
"F1 Contado",VOS035,Onion,60,21,No,21,"F1 Contado                         £23.35 £43.20          £80.00"
"F1 Preduro",VOR004,Onion,60,21,No,21,"F1 Preduro"
Senshyu,VON100,Onion,60,21,No,21,"Senshyu (not shown)           and mature in order to achieve                                               colour. Cylindrical shape. Very"
Sturon,VOS040,Onion,60,21,No,21,"Sturon (not shown)                  250sd     500sd      1,000sd"
"Red Baron",,Onion,60,21,No,21,"Red Baron"
"F1 Questar",VOR007,Onion,60,21,No,21,"F1 Questar"
