Name,Variety_Code,Crop_Type,Days_to_Maturity,Days_to_Transplant,Direct_Sow,Succession_Interval,Description
"Lady Di",VOG097,"Runner Beans",60,21,No,21,"Lady Di NEW"
"Scarlet Emperor",VRB65,"Runner Beans",60,21,No,21,"Scarlet Emperor"
Firestorm,VRB22,"Runner Beans",60,21,No,21,"Firestorm                YP       (not shown)                    YP"
"Dwarf Borlotto",VDF86,"Runner Beans",60,21,No,21,"Dwarf Borlotto                                                         2.5cm in size."
Prizewinner,VRB70,"Runner Beans",60,21,No,21,Prizewinner
"Guiness Record",VRB08,"Runner Beans",60,21,No,21,"Guiness Record"
"Purple Queen",VDF95,"Runner Beans",60,21,No,21,"Purple Queen                   averaging around 45cm in length.                                                   21/2kg     5kg         10kg"
Enorma,VRB30,"Runner Beans",60,21,No,21,"Enorma                     YP"
Crusader,VRB12,"Runner Beans",60,21,No,21,"Crusader                 YP          £6.65      £10.65      £16.70"
"Scarlet Empire",VRB90,"Runner Beans",60,21,No,21,"Scarlet Empire             YP"
Streamline,VRB50,"Runner Beans",60,21,No,21,"Streamline                        Produces       smooth,       narrow,"
"Swiss Chard White",VBE70,"Runner Beans",60,21,No,21,"Swiss Chard White"
Moonlight,VRB25,"Runner Beans",60,21,No,21,"Moonlight (not shown)                                                                                          stalks and spinach-like leaves for"
"White Silver",VOG670,"French Beans",60,21,No,21,"White Silver"
"Bulls Blood Red",VBE75,"French Beans",60,21,No,21,"Bulls Blood Red"
Solitaire,VRB80,"French Beans",60,21,No,21,"Solitaire                                                               beetroot itself is large and only"
"Chard Bright Lights",VBE90,"French Beans",60,21,No,21,"Chard Bright Lights"
Queen,VRB82,"French Beans",60,21,No,21,"Queen of Hearts                   A range of colours including white,       10g        25g        50g"
Equator,VRB60,"French Beans",60,21,No,21,"Equator                          Red flowered.                           cream, yellow, orange, pink,             £1.90      £4.35      £8.10"
Sweepstake,VRB84,"French Beans",60,21,No,21,"Sweepstake                        lipstick, and red. Terrific colour       100g        250g      500g"
"Bulls Blood Red",VOG111,"French Beans",60,21,No,21,"Bulls Blood Red"
Hestia,VRB35,"French Beans",60,21,No,21,"Hestia (not shown)                                                        £2.80     £6.45      £11.90"
Flamingo,VBE95,"French Beans",60,21,No,21,"Flamingo (not shown)"
"White Lady",VRB66,"French Beans",60,21,No,21,"White Lady                                                               packs and novelty box schemes."
"Painted Lady",VRB45,"French Beans",60,21,No,21,"Painted Lady             YP"
"Canary Yellow",VBE85,"French Beans",60,21,No,21,"Canary Yellow"
"Rhubarb Chard",VBE80,"French Beans",60,21,No,21,"Rhubarb Chard"
"White Emergo",VRB40,"French Beans",60,21,No,21,"White Emergo                     pods which are very tender.             schemes, etc.                         stems are suitable for both"
"Perpetual Spinach",VBE60,"French Beans",60,21,No,21,"Perpetual Spinach                  £2.75    £5.10      £9.45"
"White Emergo",VOG098,"French Beans",60,21,No,21,"White Emergo                                                            as an alternative ‘cut and come       VOG106 Rhubarb Chard"
"Albina Ice",VBE15,Spinach,60,21,No,21,"Albina Ice (not shown)           B"
"F1 Boro",VOG101,Spinach,60,21,No,21,"F1 Boro                                                                  Chioggia"
Detroit,VBE40,Spinach,60,21,No,21,"Detroit 2 Crimson"
Chioggia,VBE20,Spinach,60,21,No,21,Chioggia
Detroit,VOG102,Spinach,60,21,No,21,"Detroit 2 Crimson                as a hot vegetable."
"F1 Pablo",VBE03,Spinach,60,21,No,21,"F1 Pablo            Poly Glas"
Detroit,VOG100,Spinach,60,21,No,21,"Detroit 2 Bolivar              VBE16 Boston (not shown)"
Golden,VBE35,Spinach,60,21,No,21,Golden
"F1 Pablo",VBE05,Spinach,60,21,No,21,"F1 Pablo        Poly Glas"
Boltardy,VBE30,Spinach,60,21,No,21,"Boltardy (not shown)            VBE17 Boston (not shown)"
Bona,VBE28,Spinach,60,21,No,21,Bona
Egyptian,VBE45,Spinach,60,21,No,21,"Egyptian (not shown)"
Boltardy,VBE32,Spinach,60,21,No,21,"Boltardy (not shown)            makes for a sweet, tasty flavour.         £3.10      £5.70      £13.15"
"F1 Bettollo",VBE10,Spinach,60,21,No,21,"F1 Bettollo                         £2.20      £4.10      £7.60         baby/pickling beet production.                 £24.30     £45.00"
Cylindra,VBE55,Spinach,60,21,No,21,"Cylindra (not shown)"
Bona,VBE29,Spinach,60,21,No,21,"Bona                              tasting flesh. Ideal variety for"
"Red Russian",VBO50,Spinach,60,21,No,21,"Red Russian"
"F1 Kapitan",VBO65,Spinach,60,21,No,21,"F1 Kapitan                                                               £20.45 £37.80            £70.00"
